source,retrieved_at,ranking_scope,ranking_year,rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,iid,record_type,member_level,url,nid,location,aliases,subjects_offered,closed,unaccredited,disabled
times,2026-07-19T10:14:01+00:00,overall,2015,1,1,California Institute of Technology,94.3,1,92.2,2,67.0,120,89.1,34,98.1,2,99.7,5,i-20537945,private,0,/world-university-rankings/california-institute-technology,128779,United States,California Institute of Technology caltech,"Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemistry,Chemical Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Civil Engineering",False,False,False
times,2026-07-19T10:14:01+00:00,overall,2015,2,2,Harvard University,93.3,2,92.9,1,67.6,115,44.0,184,98.6,1,98.9,12,i-48698023,private,0,/world-university-rankings/harvard-university,466,United States,Harvard University,"Archaeology,Mathematics & Statistics,Art, Performing Arts & Design,Psychology,Other Health,Chemistry,Economics & Econometrics,Biological Sciences,Accounting & Finance,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Law,History, Philosophy & Theology,Geography,Education,Computer Science,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,Architecture,Sociology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Agriculture & Forestry",False,False,False
times,2026-07-19T10:14:01+00:00,overall,2015,3,3,University of Oxford,93.2,3,88.6,6,90.7,14,72.9,69,97.7,3,95.5,24,i-92611101,master_account,0,/world-university-rankings/university-oxford,468,United Kingdom,University of Oxford,"Computer Science,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Law,Accounting & Finance,Chemical Engineering,Archaeology,Communication & Media Studies,Civil Engineering,Education,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Geography,Politics & International Studies (incl Development Studies),Other Health,General Engineering,Business & Management,Chemistry,Medicine & Dentistry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Sociology",False,False,False
times,2026-07-19T10:14:01+00:00,overall,2015,4,4,Stanford University,92.9,4,91.5,3,69.0,112,63.1,94,96.7,4,99.1,10,i-35756672,private,0,/world-university-rankings/stanford-university,467,United States,Stanford University,"Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Sociology,Other Health,Computer Science,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Biological Sciences,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Agriculture & Forestry,Archaeology,Education,Languages, Literature & Linguistics,Communication & Media Studies,Physics & Astronomy,Law,Economics & Econometrics,Chemistry",False,False,False
times,2026-07-19T10:14:01+00:00,overall,2015,5,5,University of Cambridge,92.0,5,89.7,4,87.8,23,51.1,135,95.6,6,95.2,28,i-67516113,master_account,0,/world-university-rankings/university-cambridge,470,United Kingdom,University of Cambridge,"History, Philosophy & Theology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Law,Electrical & Electronic Engineering,Architecture,Psychology,Veterinary Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Archaeology,Medicine & Dentistry,Chemistry,Mechanical & Aerospace Engineering,Geography,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Civil Engineering,Sociology,Business & Management,Chemical Engineering,Art, Performing Arts & Design,Education",False,False,False
times,2026-07-19T10:14:01+00:00,overall,2015,6,6,Massachusetts Institute of Technology,91.9,6,89.1,5,84.3,39,95.7,28,88.2,13,100.0,1,i-68334672,private,0,/world-university-rankings/massachusetts-institute-technology,471,United States,Massachusetts Institute of Technology,"Biological Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Economics & Econometrics,Psychology,Art, Performing Arts & Design,Physics & Astronomy,Mechanical & Aerospace Engineering,Sociology,Communication & Media Studies,Mathematics & Statistics,Architecture,General Engineering,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Other Health,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Business & Management",False,False,False
times,2026-07-19T10:14:01+00:00,overall,2015,7,7,Princeton University,90.9,7,86.6,8,61.2,152,82.7,52,94.7,7,99.6,7,i-20795402,private,0,/world-university-rankings/princeton-university,469,United States,Princeton University,"Chemistry,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Other Health,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Architecture,Civil Engineering,Psychology",False,False,False
times,2026-07-19T10:14:01+00:00,overall,2015,8,8,"University of California, Berkeley",89.5,8,84.2,10,58.5,178,44.8,175,96.7,5,99.1,11,i-50018853,public,0,/world-university-rankings/university-california-berkeley,474,United States,"University of California, Berkeley","Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Art, Performing Arts & Design,Geography,General Engineering,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering,Computer Science,Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Chemistry,Law,Psychology,Business & Management,Architecture,Mathematics & Statistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology",False,False,False
times,2026-07-19T10:14:01+00:00,overall,2015,9,9,Imperial College London,87.5,9,84.6,9,92.7,8,72.7,70,88.3,12,89.4,53,i-67704114,master_account,0,/world-university-rankings/imperial-college-london,472,United Kingdom,Imperial College London,"Computer Science,Business & Management,Chemical Engineering,Accounting & Finance,Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Medicine & Dentistry,Mechanical & Aerospace Engineering,Other Health,Mathematics & Statistics,Biological Sciences,Civil Engineering",False,False,False
times,2026-07-19T10:14:01+00:00,overall,2015,9,9,Yale University,87.5,10,88.5,7,59.8,163,42.0,208,90.8,8,94.0,33,i-73583889,private,0,/world-university-rankings/yale-university,475,United States,Yale University,"Languages, Literature & Linguistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Archaeology,Agriculture & Forestry,Psychology,Mathematics & Statistics,Law,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Accounting & Finance,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Chemical Engineering,Business & Management,Chemistry,Architecture,Biological Sciences,Economics & Econometrics",False,False,False
