source,retrieved_at,ranking_scope,ranking_year,rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,iid,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled
times,2026-07-19T10:14:04+00:00,overall,2017,10,1,University of Oxford,95.0,10,89.6,5,99.1,1,99.2,12,62.5,156,94.5,20,i-92611101,master_account,0,/world-university-rankings/university-oxford,468,United Kingdom,"19,720",10.9,35%,46 : 54,University of Oxford,"Computer Science,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Law,Accounting & Finance,Chemical Engineering,Archaeology,Communication & Media Studies,Civil Engineering,Education,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Biological Sciences,Geography,Politics & International Studies (incl Development Studies),Other Health,General Engineering,Business & Management,Chemistry,Medicine & Dentistry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Sociology",False,False,False
times,2026-07-19T10:14:04+00:00,overall,2017,20,2,California Institute of Technology,94.3,20,95.5,1,95.7,6,99.8,4,90.8,47,63.4,261,i-20537945,private,0,/world-university-rankings/california-institute-technology,128779,United States,"2,181",6.7,27%,31 : 69,California Institute of Technology caltech,"Biological Sciences,History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Chemistry,Chemical Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Civil Engineering",False,False,False
times,2026-07-19T10:14:04+00:00,overall,2017,30,3,Stanford University,93.8,30,92.6,2,95.9,5,99.9,3,60.9,165,76.5,153,i-35756672,private,0,/world-university-rankings/stanford-university,467,United States,"15,658",7.7,22%,42 : 58,Stanford University,"Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Sociology,Other Health,Computer Science,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Biological Sciences,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,History, Philosophy & Theology,Electrical & Electronic Engineering,Psychology,Accounting & Finance,Agriculture & Forestry,Archaeology,Education,Languages, Literature & Linguistics,Communication & Media Studies,Physics & Astronomy,Law,Economics & Econometrics,Chemistry",False,False,False
times,2026-07-19T10:14:04+00:00,overall,2017,40,4,University of Cambridge,93.6,40,90.6,3,97.2,3,96.8,31,50.4,239,92.4,34,i-67516113,master_account,0,/world-university-rankings/university-cambridge,470,United Kingdom,"18,605",11.3,35%,45 : 55,University of Cambridge,"History, Philosophy & Theology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Law,Electrical & Electronic Engineering,Architecture,Psychology,Veterinary Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,General Engineering,Archaeology,Medicine & Dentistry,Chemistry,Mechanical & Aerospace Engineering,Geography,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Civil Engineering,Sociology,Business & Management,Chemical Engineering,Art, Performing Arts & Design,Education",False,False,False
times,2026-07-19T10:14:04+00:00,overall,2017,50,5,Massachusetts Institute of Technology,93.4,50,90.3,4,92.3,8,99.9,2,88.4,55,85.6,89,i-68334672,private,0,/world-university-rankings/massachusetts-institute-technology,471,United States,"11,192",8.8,33%,37 : 63,Massachusetts Institute of Technology,"Biological Sciences,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Economics & Econometrics,Psychology,Art, Performing Arts & Design,Physics & Astronomy,Mechanical & Aerospace Engineering,Sociology,Communication & Media Studies,Mathematics & Statistics,Architecture,General Engineering,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Archaeology,Other Health,Chemistry,Politics & International Studies (incl Development Studies),Computer Science,Business & Management",False,False,False
times,2026-07-19T10:14:04+00:00,overall,2017,60,6,Harvard University,92.7,60,87.5,9,98.3,2,99.7,8,47.3,287,77.9,139,i-48698023,private,0,/world-university-rankings/harvard-university,466,United States,"19,890",8.8,25%,,Harvard University,"Archaeology,Mathematics & Statistics,Art, Performing Arts & Design,Psychology,Other Health,Chemistry,Economics & Econometrics,Biological Sciences,Accounting & Finance,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Law,History, Philosophy & Theology,Geography,Education,Computer Science,General Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,Architecture,Sociology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Agriculture & Forestry",False,False,False
times,2026-07-19T10:14:04+00:00,overall,2017,70,7,Princeton University,90.2,70,89.5,6,88.4,15,99.2,13,49.9,250,77.2,148,i-20795402,private,0,/world-university-rankings/princeton-university,469,United States,"7,925",8.4,23%,45 : 55,Princeton University,"Chemistry,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Chemical Engineering,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Other Health,Biological Sciences,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Architecture,Civil Engineering,Psychology",False,False,False
times,2026-07-19T10:14:04+00:00,overall,2017,80,8,Imperial College London,90.0,80,86.4,11,86.6,18,97.3,28,67.5,128,96.5,9,i-67704114,master_account,0,/world-university-rankings/imperial-college-london,472,United Kingdom,"15,235",11.3,52%,37 : 63,Imperial College London,"Computer Science,Business & Management,Chemical Engineering,Accounting & Finance,Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Medicine & Dentistry,Mechanical & Aerospace Engineering,Other Health,Mathematics & Statistics,Biological Sciences,Civil Engineering",False,False,False
times,2026-07-19T10:14:04+00:00,overall,2017,90,9,ETH Zurich,89.3,90,81.5,17,93.7,7,92.5,61,63.7,148,98.1,7,i-46301963,master_account,0,/world-university-rankings/eth-zurich,479,Switzerland,"18,616",14.9,37%,31 : 69,ETH Zurich,"Electrical & Electronic Engineering,Education,Civil Engineering,Business & Management,Chemical Engineering,Computer Science,Politics & International Studies (incl Development Studies),General Engineering,Economics & Econometrics,Chemistry,Other Health,Mathematics & Statistics,Sport Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Biological Sciences,Architecture,Physics & Astronomy,Medicine & Dentistry,Accounting & Finance",False,False,False
times,2026-07-19T10:14:04+00:00,overall,2017,100,=10,"University of California, Berkeley",88.9,100,82.4,16,96.1,4,99.8,5,37.6,537,59.6,291,i-50018853,public,0,/world-university-rankings/university-california-berkeley,474,United States,"34,834",12.0,16%,52 : 48,"University of California, Berkeley","Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Art, Performing Arts & Design,Geography,General Engineering,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering,Computer Science,Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Sociology,History, Philosophy & Theology,Chemistry,Law,Psychology,Business & Management,Architecture,Mathematics & Statistics,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology",False,False,False
