source,retrieved_at,ranking_scope,ranking_year,rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,iid,record_type,member_level,url,nid,location,aliases,subjects_offered,closed,unaccredited,disabled
times,2026-07-19T10:13:58+00:00,overall,2013,16,16,Johns Hopkins University,85.6,16,81.8,18,57.3,165,100.0,3,85.5,24,95.3,25,i-44788493,private,0,/world-university-rankings/johns-hopkins-university,478,United States,Johns Hopkins University,"Mathematics & Statistics,Economics & Econometrics,Civil Engineering,General Engineering,Sociology,Medicine & Dentistry,Physics & Astronomy,Education,Archaeology,Business & Management,Accounting & Finance,Computer Science,History, Philosophy & Theology,Psychology,Chemistry,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Other Health,Art, Performing Arts & Design,Chemical Engineering",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,17,17,UCL,85.5,17,83.5,16,89.0,11,45.1,151,88.8,19,86.8,62,i-15171793,master_account,0,/world-university-rankings/ucl,481,United Kingdom,UCL ucl UCL,"General Engineering,Medicine & Dentistry,Sport Science,Art, Performing Arts & Design,Biological Sciences,Law,Mechanical & Aerospace Engineering,Physics & Astronomy,Education,Architecture,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,History, Philosophy & Theology,Chemical Engineering,Geography,Archaeology,Mathematics & Statistics,Computer Science,Politics & International Studies (incl Development Studies),Other Health,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Sociology,Chemistry,Psychology",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,18,18,Cornell University,83.3,18,77.0,24,53.8,190,39.5,218,92.1,12,91.8,40,i-48987672,private,0,/world-university-rankings/cornell-university,484,United States,Cornell University,"History, Philosophy & Theology,Archaeology,Veterinary Science,Agriculture & Forestry,Law,Biological Sciences,Chemical Engineering,Politics & International Studies (incl Development Studies),Civil Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,Sociology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Computer Science,General Engineering,Chemistry,Economics & Econometrics,Physics & Astronomy,Business & Management,Psychology,Other Health",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,19,19,Northwestern University,83.1,19,77.6,22,33.8,304,64.4,81,87.3,20,98.2,13,i-44947751,private,0,/world-university-rankings/northwestern-university,490,United States,Northwestern University,"Education,Computer Science,Biological Sciences,Psychology,Archaeology,Physics & Astronomy,History, Philosophy & Theology,Art, Performing Arts & Design,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Communication & Media Studies,Medicine & Dentistry,Accounting & Finance,Chemistry,Chemical Engineering,Mathematics & Statistics,Geography,Sociology,Civil Engineering,Other Health,Electrical & Electronic Engineering,Sport Science,Law,Politics & International Studies (incl Development Studies),General Engineering,Architecture,Geology, Environmental, Earth & Marine Sciences",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,20,20,University of Michigan-Ann Arbor,82.6,20,76.1,26,47.6,230,53.9,111,91.4,13,91.6,41,i-98611775,public,0,/world-university-rankings/university-michigan-ann-arbor,482,United States,University of Michigan-Ann Arbor,"Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Physics & Astronomy,Computer Science,General Engineering,Chemical Engineering,Agriculture & Forestry,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Mathematics & Statistics,Sociology,Electrical & Electronic Engineering,Law,Business & Management,Education,Civil Engineering,Medicine & Dentistry,Economics & Econometrics,Psychology,Architecture,Accounting & Finance,Other Health,Politics & International Studies (incl Development Studies),Biological Sciences,Chemistry,Sport Science,Languages, Literature & Linguistics",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,21,21,University of Toronto,82.2,21,79.6,20,65.1,117,42.9,176,89.4,17,85.1,71,i-67051171,master_account,0,/world-university-rankings/university-toronto,483,Canada,University of Toronto,"Art, Performing Arts & Design,Accounting & Finance,Archaeology,Communication & Media Studies,Sport Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Other Health,Computer Science,Architecture,Psychology,Mathematics & Statistics,General Engineering,Chemistry,Economics & Econometrics,Law,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Agriculture & Forestry,Education,Geography,Business & Management,Sociology,Electrical & Electronic Engineering,Medicine & Dentistry,Civil Engineering,Languages, Literature & Linguistics",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,22,22,Carnegie Mellon University,81.5,22,71.8,36,51.4,200,55.9,102,87.0,22,95.5,24,i-14763812,private,0,/world-university-rankings/carnegie-mellon-university,485,United States,Carnegie Mellon University,"Biological Sciences,Economics & Econometrics,Civil Engineering,Business & Management,Architecture,Communication & Media Studies,Art, Performing Arts & Design,Computer Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Electrical & Electronic Engineering,Psychology,Chemical Engineering,Accounting & Finance,Mathematics & Statistics,Physics & Astronomy,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,23,23,Duke University,81.2,23,72.3,35,45.8,241,100.0,1,81.5,29,97.0,16,i-10310643,private,0,/world-university-rankings/duke-university,487,United States,Duke University,"Computer Science,Physics & Astronomy,Agriculture & Forestry,Law,General Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sociology,Geography,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Other Health,Chemistry,Communication & Media Studies,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Art, Performing Arts & Design,Civil Engineering,Psychology,History, Philosophy & Theology,Biological Sciences,Accounting & Finance,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,24,24,University of Washington,79.9,24,74.7,29,39.1,270,41.3,195,81.3,31,97.0,17,i-79008396,public,0,/world-university-rankings/university-washington,489,United States,University of Washington,"Languages, Literature & Linguistics,Civil Engineering,Geography,Electrical & Electronic Engineering,Mathematics & Statistics,General Engineering,Chemical Engineering,Accounting & Finance,Architecture,Physics & Astronomy,Computer Science,Chemistry,Psychology,History, Philosophy & Theology,Art, Performing Arts & Design,Law,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Agriculture & Forestry,Communication & Media Studies,Archaeology,Biological Sciences,Sociology,Mechanical & Aerospace Engineering,Sport Science,Education,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Economics & Econometrics",False,False,False
times,2026-07-19T10:13:58+00:00,overall,2013,25,25,Georgia Institute of Technology,78.8,25,70.2,39,66.3,110,74.9,58,79.5,37,90.3,47,i-55860137,public,0,/world-university-rankings/georgia-institute-technology,488,United States,Georgia Institute of Technology,"Chemistry,General Engineering,Biological Sciences,Mathematics & Statistics,Sociology,Other Health,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Agriculture & Forestry,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Geography,Mechanical & Aerospace Engineering,Economics & Econometrics,Computer Science,Psychology,Business & Management,Architecture,Civil Engineering,Chemical Engineering,Communication & Media Studies,Physics & Astronomy,Languages, Literature & Linguistics",False,False,False
