source,retrieved_at,ranking_scope,ranking_year,core_id,country,city,guide,nid,title,score,rank_display,region,stars,recm
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,389,United Kingdom,Manchester,,294871,The University of Manchester,79.9,=40,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,495,United States,Philadelphia,,297569,University of Pennsylvania,79.9,=40,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,340,Netherlands,Leiden,,294071,Leiden University,79.6,42,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,396,Canada,Montreal,,294864,McGill University,79.2,43,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,570,United Kingdom,St. Andrews,,297285,University of St Andrews,79.1,44,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,665,Japan,Tokyo,,297196,Waseda University,79,45,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,420,Germany,Munich,,294840,Ludwig-Maximilians-Universität München,78.9,46,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,72,United States,Providence,,294584,Brown University,78.7,47,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,604,United States,Austin,,297257,University of Texas at Austin,78.4,48,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,168,United States,Durham,,294490,Duke University,78.3,=49,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,18,Netherlands,Amsterdam,,297816,University of Amsterdam,78.3,=49,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,418,Russia,Moscow,,294842,Lomonosov Moscow State University,78.2,=51,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,425,Mexico,Mexico City,,294835,Universidad Nacional Autónoma de México (UNAM),78.2,=51,Latin America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,59,United Kingdom,Birmingham,,294597,University of Birmingham,78.2,=51,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,338,United Kingdom,Leeds,,294081,University of Leeds,78.2,=51,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,689,United Kingdom,York,,297128,University of York,78.1,55,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,484,France,Paris,,297549,Université Paris-Sorbonne (Paris IV),78,56,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,167,Ireland,Dublin,,294491,"Trinity College Dublin, The University of Dublin",77.8,=57,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,626,China (Mainland),Beijing,,297235,Tsinghua University,77.8,=57,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,61,Italy,Bologna,,294595,Alma Mater Studiorum - University of Bologna,77.4,59,Europe,,1--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,650,New Zealand,"Kelburn, Wellington",,297211,Victoria University of Wellington,77.3,60,Oceania,6,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,431,Singapore,Singapore,,294821,"Nanyang Technological University, Singapore (NTU)",77.2,61,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,515,Australia,Brisbane,,297460,The University of Queensland,77.1,62,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,107,Chile,Santiago,,294549,Pontificia Universidad Católica de Chile (UC),76.6,63,Latin America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,69,United Kingdom,Bristol,,294587,University of Bristol,76.5,64,Europe,6,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,383,Malaysia,Kuala Lumpur,,294877,Universiti Malaya (UM),76.4,=65,Asia,5,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,688,South Korea,Seoul,,297129,Yonsei University,76.4,=65,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,78,Argentina,Buenos Aires,,294578,Universidad de Buenos Aires (UBA),76.3,67,Latin America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,259,Germany,Heidelberg,,294265,Ruprecht-Karls-Universität Heidelberg,76.2,=68,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,558,United Kingdom,Sheffield,,297471,The University of Sheffield,76.2,=68,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,260,Finland,Helsinki,,294264,University of Helsinki,76.2,=68,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,14104,France,Paris,,293605,Université Sorbonne Nouvelle Paris 3,76.1,71,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,325,South Korea,Seoul,,294121,Korea University,76,72,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,231,United Kingdom,Glasgow,,294322,University of Glasgow,75.9,73,Europe,6,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,141,Denmark,Copenhagen,,294516,University of Copenhagen,75.8,74,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,532,Italy,Rome,,297489,Sapienza University of Rome,75.6,=75,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,482,France,Paris,,297554,Université Paris 1 Panthéon-Sorbonne,75.6,=75,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,105,Belgium,Leuven,,294551,KU Leuven,75.5,77,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,224,United States,Washington D.C.,,294355,Georgetown University,75.1,78,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,314,Japan,Tokyo,,294156,Keio University,75,=79,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,380,Spain,Madrid,,294880,Complutense University of Madrid,75,=79,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,550,Brazil,São Paulo,,297422,Universidade de São Paulo,75,=79,Latin America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,130,Hong Kong SAR,Hong Kong,,294527,City University of Hong Kong,74.6,=82,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,359,United Kingdom,London,,294022,Queen Mary University of London,74.6,=82,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,378,Australia,Sydney,,293982,Macquarie University,74.5,=84,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,678,United States,Madison,,297183,University of Wisconsin-Madison,74.5,=84,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,218,China (Mainland),Shanghai,,294367,Fudan University,74.4,86,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,6,Denmark,,,294648,Aarhus University,74.2,=87,Europe,,1--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,629,Germany,Tübingen,,297232,Eberhard Karls Universität Tübingen,74.2,=87,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,456,United States,Evanston,,294767,Northwestern University,74.1,=89,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,204,United Kingdom,Exeter,,294427,The University of Exeter,74.1,=89,Europe,5,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,43,Spain,Barcelona,,294613,Universitat de Barcelona,73.9,=91,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,386,Malaysia,Gelugor,,294874,Universiti Sains Malaysia (USM),73.9,=91,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,63,United States,Boston,,294593,Boston University,73.8,=93,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,528,Australia,Melbourne,,297499,RMIT University,73.8,=93,Oceania,5,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,652,Austria,Vienna,,297209,University of Vienna,73.7,95,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,587,Australia,Haymarket,,297273,University of Technology Sydney,73.6,=96,Oceania,5,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,656,United States,Charlottesville,,297205,University of Virginia,73.6,=96,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,693,Switzerland,Zürich,,297126,University of Zurich,73.6,=96,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,201,Switzerland,Zürich,,294432,ETH Zurich - Swiss Federal Institute of Technology,73.3,99,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,335,United Kingdom,Lancaster,,294090,Lancaster University,73.2,=100,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,474,New Zealand,Dunedin,,297618,University of Otago,73.2,=100,Oceania,6,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,355,United Kingdom,London,,294032,"Goldsmiths, University of London",73.1,102,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,582,South Korea,Suwon,,297467,Sungkyunkwan University(SKKU),73,103,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,289,United States,Bloomington,,294235,Indiana University Bloomington,72.9,104,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,673,Australia,Perth,,297188,The University of Western Australia,72.8,=105,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,569,United States,Los Angeles,,297286,University of Southern California,72.8,=105,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,577,Sweden,Stockholm,,297278,Stockholm University,72.6,=107,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,459,United Kingdom,Nottingham,,294758,University of Nottingham,72.6,=107,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,494,United States,University Park,,297570,Pennsylvania State University,72.5,109,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,305,United States,Baltimore,,294184,Johns Hopkins University,72.3,=110,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,517,United Kingdom,Reading,,297458,University of Reading,72.3,=110,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,44,Spain,Barcelona,,294612,Universitat Autònoma de Barcelona,72.1,112,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,384,Malaysia,Bangi,,294876,Universiti Kebangsaan Malaysia (UKM),72,=113,Asia,5,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,667,United States,Seattle,,297194,University of Washington,72,=113,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,267,Hong Kong SAR,Hong Kong,,294257,The Hong Kong Polytechnic University,71.9,115,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,216,Germany,Freiburg im Breisgau,,294376,Albert-Ludwigs-Universitaet Freiburg,71.8,116,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,572,Russia,Saint Petersburg,,297283,Saint Petersburg State University,71.7,117,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,89,United States,San Diego,,294567,"University of California, San Diego (UCSD)",71.5,118,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,1646,United Kingdom,London,,296380,University of the Arts London,71.3,119,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,121,Chile,Santiago,,294535,Universidad de Chile,71.2,=120,Latin America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,646,Netherlands,Utrecht,,297215,Utrecht University,71.2,=120,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,379,Spain,Madrid,,293977,Universidad Autónoma de Madrid,71.1,122,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,99,United Kingdom,Cardiff,,294557,Cardiff University,71,=123,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,2090,United States,Champaign,,295060,University of Illinois at Urbana-Champaign,71,=123,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,424,United States,Chapel Hill,,294836,"University of North Carolina, Chapel Hill",71,=123,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,764,Italy,Venice,,297066,Ca' Foscari University of Venice,70.9,=126,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,98,South Africa,Cape Town,,294558,University of Cape Town,70.9,=126,Africa,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,473,Norway,Oslo,,297620,University of Oslo,70.9,=126,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,106,Belgium,Louvain-la-Neuve,,294550,Université catholique de Louvain (UCLouvain),70.8,129,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,155,Netherlands,Delft,,294502,Delft University of Technology,70.7,=130,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,221,Switzerland,Geneva,,294362,University of Geneva,70.7,=130,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,101,United States,Pittsburgh,,294555,Carnegie Mellon University,70.6,=132,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,176,France,Paris,,294482,"Ecole normale supérieure, Paris",70.6,=132,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,1054,South Korea,Seoul,,296751,HUFS - Hankuk (Korea) University of Foreign Studies,70.6,=132,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,166,Ireland,Dublin,,294492,University College Dublin,70.6,=132,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,250,South Korea,Seoul,,294273,Hanyang University,70.5,136,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,538,United States,New Brunswick,,297482,Rutgers University–New Brunswick,70.4,=137,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,406,Italy,Milan,,294854,Università Cattolica del Sacro Cuore,70.4,=137,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,458,United States,Notre Dame,,294761,University of Notre Dame,70.3,139,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,465,United States,Columbus,,294741,The Ohio State University,70.2,=140,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,1873,Italy,Milan,,294778,University of Milan,70.2,=140,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,134,Colombia,Bogotá,,294523,Universidad Nacional de Colombia,70.1,=142,Latin America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,480,Italy,Padua,,297578,Università di Padova,70.1,=142,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,643,Sweden,Uppsala,,297218,Uppsala University,70.1,=142,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,10,Australia,Adelaide,,294644,The University of Adelaide,70,145,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,585,United Kingdom,Brighton,,296147,University of Sussex,69.8,146,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,556,China (Mainland),Shanghai,,297378,Shanghai Jiao Tong University,69.7,=147,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,15,Canada,Edmonton,,294639,University of Alberta,69.7,=147,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,869,China (Mainland),Beijing,,297022,Beijing Normal University,69.6,=149,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,234,Germany,Göttingen,,294311,University of Göttingen,69.6,=149,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,243,Netherlands,Groningen,,294293,University of Groningen,69.6,=149,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,385,Malaysia,Seri Kembangan,,294875,Universiti Putra Malaysia (UPM),69.5,152,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,450,United Kingdom,Newcastle upon Tyne,,294781,Newcastle University,69.4,=153,Europe,6,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,214,Germany,Frankfurt,,294384,Goethe-University Frankfurt am Main,69.4,=153,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,371,Sweden,Lund,,293996,Lund University,69.3,155,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,356,United Kingdom,London,,294030,Imperial College London,69.2,=156,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,246,Germany,Hamburg,,294282,Universität Hamburg,69.2,=156,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,394,United States,Amherst,,294866,University of Massachusetts Amherst,69.2,=156,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,534,United Kingdom,Egham,,297486,Royal Holloway University of London,69,159,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,1636,United Kingdom,London,,297511,"Birkbeck, University of London",68.9,=160,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,472,Japan,Osaka City,,297628,Osaka University,68.9,=160,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,516,Australia,Brisbane,,297459,Queensland University of Technology (QUT),68.9,=160,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,149,United States,New York City,,294508,City University of New York,68.8,163,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,269,Hong Kong SAR,Hong Kong,,294255,The Hong Kong University of Science and Technology,68.6,164,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,442,Taiwan,Hsinchu City,,294800,National Tsing Hua University,68.5,=165,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,500,United States,Pittsburgh,,297561,University of Pittsburgh,68.5,=165,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,96,Brazil,Campinas,,294560,Universidade Estadual de Campinas (Unicamp),68.3,=167,Latin America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,504,Spain,Barcelona,,297497,Universitat Pompeu Fabra (Barcelona),68.3,=167,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,435,Taiwan,Tainan City,,294814,National Cheng Kung University (NCKU),68.2,=169,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,436,Taiwan,Taipei City,,294811,National Chengchi University,68.2,=169,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,350,United Kingdom,Liverpool,,294045,University of Liverpool,68.1,171,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,112,Austria,Vienna,,294544,Central European University,67.9,=172,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,407,Italy,Milan,,294853,Politecnico di Milano,67.9,=172,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,417,Canada,Montreal,,294843,Université de Montréal,67.9,=172,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,256,Israel,Jerusalem,,294267,The Hebrew University of Jerusalem,67.8,=175,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,228,Belgium,Ghent,,294329,Ghent University,67.8,=175,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,2,Australia,Geelong,,884388,Deakin University,67.7,177,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,477,United Kingdom,,,297597,Oxford Brookes University,67.5,=178,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,514,United Kingdom,,,297461,Queen's University Belfast,67.5,=178,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,567,United Kingdom,Southampton,,297288,University of Southampton,67.4,180,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,884,China (Mainland),Beijing,,297005,Renmin (People's) University of China,67.2,181,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,242,Australia,Nathan,,294295,Griffith University,67.1,=182,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,278,United States,Chicago,,294246,University of Illinois at Chicago (UIC),67.1,=182,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,562,Canada,Burnaby,,297293,Simon Fraser University,67,=184,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,658,Netherlands,Amsterdam,,297203,Vrije Universiteit Amsterdam,67,=184,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,97,New Zealand,Christchurch,,294559,University of Canterbury,66.9,=186,Oceania,5,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,315,United Kingdom,Paris,,294152,University of Kent,66.9,=186,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,440,Taiwan,Taipei City,,294806,National Taiwan Normal University,66.8,=188,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,663,Poland,Warsaw,,297198,University of Warsaw,66.8,=188,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,690,Canada,Toronto,,297127,York University,66.8,=188,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,525,Brazil,Rio de Janeiro,,297503,Universidade Federal do Rio de Janeiro,66.7,=191,Latin America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,322,Germany,Cologne,,294130,University of Cologne,66.7,=191,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,117,Czech Republic,Prague,,294539,Charles University,66.6,=193,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,367,Colombia,Bogotá,,294011,Universidad de los Andes,66.6,=193,Latin America,5,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,7,United Kingdom,Aberdeen,,294647,University of Aberdeen,66.6,=193,Europe,,0--
