source,retrieved_at,ranking_scope,ranking_year,core_id,country,city,guide,nid,title,score,rank_display,region,stars,recm
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,478,United Kingdom,Oxford,,294654,University of Oxford,98.6,1,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,253,United States,Cambridge,,294270,Harvard University,97.7,=2,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,95,United Kingdom,Cambridge,,294561,University of Cambridge,97.7,=2,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,84,United States,Berkeley,,294572,"University of California, Berkeley (UCB)",91,4,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,573,United States,Stanford,,297282,Stanford University,90.1,5,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,684,United States,New Haven,,297177,Yale University,89.3,6,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,508,United States,Princeton,,297490,Princeton University,88.7,7,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,615,Japan,Tokyo,,297246,The University of Tokyo,88.5,8,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,138,United States,New York City,,294519,Columbia University,88.4,9,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,365,United Kingdom,London,,294014,UCL,88.3,10,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,448,United States,New York City,,294786,New York University (NYU),87.6,11,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,410,United States,Cambridge,,294850,Massachusetts Institute of Technology (MIT),87.3,=12,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,180,United Kingdom,Edinburgh,,294478,The University of Edinburgh,87.3,=12,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,87,United States,Los Angeles,,294569,"University of California, Los Angeles (UCLA)",87.2,14,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,399,Australia,Parkville,,294861,The University of Melbourne,87.1,15,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,40,Australia,Canberra,,294616,The Australian National University,86.5,16,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,588,Australia,Sydney,,296815,The University of Sydney,86.4,17,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,443,Singapore,Singapore,,294798,National University of Singapore (NUS),86.3,=18,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,268,Hong Kong SAR,Hong Kong,,294256,The University of Hong Kong,86.3,=18,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,362,United Kingdom,London,,294016,The London School of Economics and Political Science (LSE),86.2,20,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,120,United States,Chicago,,294536,University of Chicago,85.3,21,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,619,Canada,Toronto,,297242,University of Toronto,84.1,22,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,357,United Kingdom,London,,294029,King's College London,83.2,23,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,272,Germany,Berlin,,294252,Humboldt-Universität zu Berlin,83.1,24,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,553,South Korea,Seoul,,297403,Seoul National University,82.4,25,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,215,Germany,Berlin,,294382,Freie Universitaet Berlin,82.1,26,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,447,Australia,Sydney,,294788,The University of New South Wales (UNSW Sydney),82,27,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,37,New Zealand,Auckland,,294619,The University of Auckland,81.9,28,Oceania,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,123,Hong Kong SAR,Hong Kong,,294277,The Chinese University of Hong Kong (CUHK),81.8,29,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,50,China (Mainland),Beijing,,294606,Peking University,81.7,30,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,170,United Kingdom,Durham,,294488,Durham University,81.3,=31,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,328,Japan,Kyoto,,294111,Kyoto University,81.3,=31,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,664,United Kingdom,Coventry,,297197,The University of Warwick,81.2,33,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,403,United States,Ann Arbor,,294857,University of Michigan-Ann Arbor,81.1,34,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,70,Canada,Vancouver,,294586,University of British Columbia,81,35,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,441,Taiwan,Taipei City,,294804,National Taiwan University (NTU),80.4,=36,Asia,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,364,United Kingdom,London,,295395,SOAS University of London,80.4,=36,Europe,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,143,United States,Ithaca,,294514,Cornell University,80.2,38,North America,,0--
qs,2026-07-19T10:44:57+00:00,arts-humanities,2018,412,Australia,Melbourne,,294848,Monash University,80.1,39,Oceania,,0--
